precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
76873.0,,2.0,,2025,2.0,59.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.769,-63.177,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.769,-63.177,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.769,-63.177,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
76873.0,,2.0,,2025,2.0,59.0,,-17.769,-63.177,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77000.0,4.0,1.0,420.0,2011,2.0,127.0,,-17.794,-63.112,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
77000.0,,2.0,242.73,2015,3.0,117.0,,-17.754,-63.083,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
77661.0,,1.0,,2023,1.0,54.0,,-17.758,-63.198,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
